model,doc,psr,iteration,CosSim_Thresh,TopKSelection,f1_micro,f1_macro,exact_match_ratio,precision@8,precision@15,precision@recall,map,precision_micro,recall_micro,fpr_micro,auc_micro,auc_macro
CAML,10,1_0.1_0.0,0,0,10,55.1,15.6,0.3,66.5,51.9,54.2,57,58.1,52.4,0.1,98.5,90.7
CAML,10,1_0.1_0.0,1,0,10,55.1,15.8,0.3,66.6,52,54.3,57.1,57.2,53.2,0.1,98.5,90.7
CAML,10,1_0.1_0.0,2,0,10,55.1,15.9,0.3,66.6,52,54.3,56.9,56.4,53.9,0.1,98.5,90.7
CAML,10,1_0.1_0.0,3,0,10,55,15.9,0.3,66.4,51.9,54.3,56.7,55.5,54.6,0.1,98.4,90.7
CAML,10,1_0.1_0.0,4,0,10,54.9,16,0.3,66.2,51.8,54.1,56.4,54.6,55.2,0.1,98.4,90.7
CAML,10,1_0.1_0.0,5,0,10,54.6,16.1,0.3,65.9,51.7,54,56,53.6,55.7,0.1,98.4,90.6
CAML,10,1_0.1_0.0,6,0,10,54.3,16.1,0.2,65.6,51.5,53.8,55.7,52.6,56.1,0.1,98.4,90.6
CAML,10,1_0.1_0.0,7,0,10,53.9,16.1,0.2,65.3,51.3,53.6,55.3,51.5,56.5,0.1,98.3,90.6
CAML,10,1_0.1_0.0,8,0,10,53.4,16.1,0.2,65,51.1,53.4,55,50.3,56.9,0.1,98.3,90.6
CAML,10,1_0.1_0.0,9,0,10,53,16.2,0.2,64.7,50.9,53.2,54.6,49.3,57.2,0.1,98.3,90.6
CAML,10,1_0.1_0.0,10,0,10,52.5,16.2,0.2,64.4,50.6,52.9,54.2,48.2,57.6,0.1,98.3,90.6
CAML,15,1_0.1_0.0,0,0,15,55.1,15.6,0.3,66.5,51.9,54.2,57,58.1,52.4,0.1,98.5,90.7
CAML,15,1_0.1_0.0,1,0,15,55.1,15.7,0.3,66.6,52,54.3,57.1,57.3,53.2,0.1,98.5,90.7
CAML,15,1_0.1_0.0,2,0,15,55.1,15.8,0.3,66.5,52,54.3,57,56.4,53.9,0.1,98.5,90.7
CAML,15,1_0.1_0.0,3,0,15,55,15.9,0.3,66.4,52,54.2,56.7,55.5,54.6,0.1,98.5,90.7
CAML,15,1_0.1_0.0,4,0,15,54.9,16,0.3,66.2,51.9,54.2,56.5,54.6,55.1,0.1,98.4,90.7
CAML,15,1_0.1_0.0,5,0,15,54.7,16,0.3,66,51.8,54,56.2,53.7,55.7,0.1,98.4,90.7
CAML,15,1_0.1_0.0,6,0,15,54.4,16.1,0.2,65.7,51.6,53.9,55.8,52.7,56.1,0.1,98.4,90.6
CAML,15,1_0.1_0.0,7,0,15,54,16.1,0.2,65.4,51.4,53.7,55.5,51.7,56.5,0.1,98.3,90.6
CAML,15,1_0.1_0.0,8,0,15,53.6,16.1,0.2,65.1,51.2,53.5,55.2,50.7,56.9,0.1,98.3,90.6
CAML,15,1_0.1_0.0,9,0,15,53.2,16.1,0.2,64.7,51,53.3,54.8,49.7,57.3,0.1,98.3,90.6
CAML,15,1_0.1_0.0,10,0,15,52.7,16.1,0.2,64.4,50.8,53.1,54.5,48.6,57.6,0.1,98.3,90.6
LAAT,10,1_0.1_0.0,0,0,10,57.5,19.4,0.4,68.5,53.9,56.6,59.9,59.8,55.3,0.1,99,94.9
LAAT,10,1_0.1_0.0,1,0,10,57.5,19.5,0.4,68.7,54,56.7,60.1,59,56.1,0.1,99,94.9
LAAT,10,1_0.1_0.0,2,0,10,57.5,19.6,0.4,68.7,54,56.7,60,58.2,56.8,0.1,98.9,94.8
LAAT,10,1_0.1_0.0,3,0,10,57.4,19.7,0.4,68.5,54,56.7,59.7,57.4,57.4,0.1,98.9,94.8
LAAT,10,1_0.1_0.0,4,0,10,57.2,19.8,0.4,68.4,53.9,56.6,59.4,56.5,57.9,0.1,98.9,94.8
LAAT,10,1_0.1_0.0,5,0,10,56.9,19.9,0.4,68.1,53.8,56.5,59,55.6,58.4,0.1,98.9,94.8
LAAT,10,1_0.1_0.0,6,0,10,56.6,19.9,0.4,67.8,53.6,56.3,58.7,54.6,58.8,0.1,98.8,94.8
LAAT,10,1_0.1_0.0,7,0,10,56.2,20,0.3,67.5,53.4,56.2,58.3,53.5,59.2,0.1,98.8,94.8
LAAT,10,1_0.1_0.0,8,0,10,55.8,20,0.3,67.2,53.2,56,58,52.4,59.6,0.1,98.8,94.8
LAAT,10,1_0.1_0.0,9,0,10,55.3,20,0.3,66.9,53,55.8,57.6,51.3,59.9,0.1,98.8,94.8
LAAT,10,1_0.1_0.0,10,0,10,54.8,20,0.3,66.6,52.8,55.6,57.3,50.3,60.3,0.1,98.8,94.8
LAAT,15,1_0.1_0.0,0,0,15,57.5,19.4,0.4,68.5,53.9,56.6,59.9,59.8,55.3,0.1,99,94.9
LAAT,15,1_0.1_0.0,1,0,15,57.5,19.5,0.4,68.7,54,56.7,60.1,59,56.1,0.1,99,94.9
LAAT,15,1_0.1_0.0,2,0,15,57.5,19.6,0.4,68.7,54.1,56.7,60,58.2,56.8,0.1,98.9,94.8
LAAT,15,1_0.1_0.0,3,0,15,57.4,19.7,0.4,68.6,54,56.7,59.8,57.4,57.4,0.1,98.9,94.8
LAAT,15,1_0.1_0.0,4,0,15,57.2,19.7,0.4,68.4,53.9,56.6,59.5,56.6,57.9,0.1,98.9,94.8
LAAT,15,1_0.1_0.0,5,0,15,57,19.8,0.3,68.1,53.8,56.5,59.2,55.7,58.4,0.1,98.9,94.8
LAAT,15,1_0.1_0.0,6,0,15,56.7,19.9,0.3,67.9,53.7,56.4,58.9,54.7,58.8,0.1,98.8,94.8
LAAT,15,1_0.1_0.0,7,0,15,56.4,19.9,0.3,67.6,53.5,56.2,58.5,53.8,59.2,0.1,98.8,94.8
LAAT,15,1_0.1_0.0,8,0,15,56,20,0.3,67.2,53.3,56,58.2,52.8,59.6,0.1,98.8,94.8
LAAT,15,1_0.1_0.0,9,0,15,55.5,20,0.3,66.9,53.1,55.9,57.8,51.7,59.9,0.1,98.8,94.8
LAAT,15,1_0.1_0.0,10,0,15,55,20,0.2,66.6,52.9,55.6,57.5,50.6,60.3,0.1,98.8,94.8
PLMICD,10,1_0.1_0.0,0,0,10,59.3,23.5,0.5,70.7,55.8,58.8,63.1,63,56.1,0.1,99.3,97
PLMICD,10,1_0.1_0.0,1,0,10,59.4,23.7,0.5,70.9,55.9,58.9,63.2,62.2,56.9,0.1,99.3,97
PLMICD,10,1_0.1_0.0,2,0,10,59.5,23.8,0.4,70.8,55.8,58.9,63,61.4,57.7,0.1,99.3,96.9
PLMICD,10,1_0.1_0.0,3,0,10,59.5,23.9,0.4,70.5,55.8,58.9,62.6,60.6,58.3,0.1,99.3,96.9
PLMICD,10,1_0.1_0.0,4,0,10,59.4,24,0.4,70.3,55.7,58.8,62.3,59.8,58.9,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,5,0,10,59.2,24.1,0.4,70,55.6,58.7,62,59,59.4,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,6,0,10,59,24.2,0.4,69.6,55.5,58.6,61.6,58.2,59.9,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,7,0,10,58.8,24.3,0.4,69.3,55.3,58.4,61.3,57.2,60.3,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,8,0,10,58.4,24.3,0.4,69,55.1,58.2,60.9,56.3,60.7,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,9,0,10,58.1,24.4,0.3,68.7,54.9,58,60.6,55.4,61.1,0.1,99.2,96.9
PLMICD,10,1_0.1_0.0,10,0,10,57.7,24.4,0.3,68.3,54.7,57.8,60.2,54.4,61.4,0.1,99.2,96.9
