model_NavgTop_w_beta,iteration,model,NavgTop,w_beta,f1_micro,f1_macro,exact_match_ratio,precision@8,precision@15,map,precision@recall,precision_micro,recall_micro,fpr_micro,auc_micro,auc_macro
VanillaConv_5_0.1,0,VanillaConv,5,0.1,46.3,7.7,0.2,59.1,44.5,46.6,46.0,51.6,42.0,0.1,97.2,86.6
VanillaConv_5_0.1,1,VanillaConv,5,0.1,46.4,7.8,0.2,59.2,44.6,46.6,46.1,50.5,42.9,0.1,97.2,86.5
VanillaConv_5_0.1,2,VanillaConv,5,0.1,46.4,7.9,0.1,59.2,44.5,46.5,46.1,49.5,43.7,0.1,97.2,86.5
VanillaConv_5_0.1,3,VanillaConv,5,0.1,46.3,8.0,0.1,59.0,44.4,46.2,46.0,48.3,44.4,0.1,97.1,86.5
VanillaConv_5_0.1,4,VanillaConv,5,0.1,46.0,8.1,0.1,58.8,44.2,45.9,45.8,47.0,45.0,0.1,97.1,86.5
VanillaConv_5_0.1,5,VanillaConv,5,0.1,45.6,8.1,0.1,58.5,44.0,45.6,45.6,45.6,45.5,0.1,97.1,86.5
VanillaConv_5_0.1,6,VanillaConv,5,0.1,45.1,8.2,0.1,58.2,43.7,45.3,45.2,44.3,46.0,0.1,97.0,86.5
VanillaConv_5_0.1,7,VanillaConv,5,0.1,44.2,8.2,0.1,57.9,43.5,45.0,44.9,42.1,46.5,0.1,97.0,86.5
VanillaConv_5_0.1,8,VanillaConv,5,0.1,43.7,8.2,0.1,57.6,43.1,44.7,44.6,41.0,46.8,0.1,97.0,86.5
VanillaConv_5_0.1,9,VanillaConv,5,0.1,43.4,8.2,0.1,57.3,42.9,44.4,44.3,40.1,47.2,0.1,97.0,86.5
VanillaConv_5_0.1,10,VanillaConv,5,0.1,42.9,8.3,0.1,57.0,42.6,44.1,44.0,39.1,47.5,0.1,97.0,86.5
VanillaConv_10_0.1,0,VanillaConv,10,0.1,46.3,7.7,0.2,59.1,44.5,46.6,46.0,51.6,42.0,0.1,97.2,86.6
